|2020/04/24 17:54:58.021| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARPMTCOD | 
|2020/04/24 17:54:58.038| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARPMTCO2 | 
|2020/04/24 17:54:58.038| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARPMTMAP | 
|2020/04/24 17:54:58.038| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARPMTMP2 | 
|2020/04/24 17:54:58.060| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARCUST   | 
|2020/04/24 17:54:58.060| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/CALLBACK | 
|2020/04/24 17:54:58.060| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/CBQMISCM | 
|2020/04/24 17:54:58.060| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARTRANS  | 
|2020/04/24 17:54:58.069| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/AROTHPRC | 
|2020/04/24 17:54:58.069| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/BTRMENU  | 
|2020/04/24 17:54:58.069| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARSTMNTS | 
|2020/04/24 17:54:58.069| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARCSHMGT | 
|2020/04/24 17:54:58.069| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARBATMNT | 
|2020/04/24 17:54:58.069| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARCSHAUT | 
|2020/04/24 17:54:58.069| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARCSHDSB | 
|2020/04/24 17:54:58.083| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARREPORT | 
|2020/04/24 17:54:58.083| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARITMRP  | 
|2020/04/24 17:54:58.083| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/HSTINQRP | 
|2020/04/24 17:54:58.083| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARJRNLRP | 
|2020/04/24 17:54:58.083| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/AREXTRNL | 
|2020/04/24 17:54:58.083| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARCTRON  | 
|2020/04/24 17:54:58.083| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARAUDIT  | 
|2020/04/24 17:54:58.083| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/EPICMENU | 
